CITY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Adelanto,31661,31864,31088,31206,32522,32961,33249,33952,34049,34049,38120,38222,37976,38187
Agoura Hills,20338,20475,20544,20591,20648,20740,20665,20572,20222,20222,20228,19795,19541,19474
Alameda,73946,74692,75637,76479,77509,78459,79091,79037,77624,77624,78109,76641,75637,75353
Albany,18539,18720,18957,19187,19434,19662,19713,20076,19696,19696,20225,19814,19349,19097
Alhambra,83160,83594,84120,84337,84786,84843,85221,84878,83750,83750,82652,81261,80323,79776
Aliso Viejo,47801,48474,49038,49538,49542,49499,50858,50982,50887,50887,52073,51509,50853,50263
Alturas,2832,2772,2719,2652,2636,2626,2589,2551,2563,2563,2709,2710,2700,2657
Amador City,182,182,181,180,182,186,188,189,190,190,200,204,204,204
American Canyon,19633,19839,20011,20224,20285,20317,20268,20055,20475,20475,21799,21810,21611,21347
Anaheim,336760,339831,342071,343832,344604,348251,350013,350476,350365,350365,346658,345039,342777,340512
Anderson,9976,10024,10061,10123,10188,10179,10193,10369,10630,10630,11330,11362,11272,11210
Angels,3801,3774,3744,3731,3735,3755,3849,3881,3956,3956,3666,3738,3758,3752
Antioch,103080,104193,105565,107351,109071,110308,111088,111494,111502,111502,115379,115494,115780,117096
Apple Valley Town,69307,70025,70381,70706,71141,71747,72262,72871,73453,73453,75858,75840,75345,75036
Arcadia,56322,56594,56801,57215,57513,57835,58238,58374,57939,57939,56502,55497,54731,54157
Arcata,17681,17912,17875,17860,17869,17945,18100,18148,18431,18431,18790,17699,18578,19012
Arroyo Grande,17292,17355,17522,17696,17859,18027,18051,18057,17976,17976,18438,18506,18383,18243
Artesia,16519,16575,16630,16679,16755,16835,16826,16808,16601,16601,16338,16015,15772,15597
Arvin,19345,19676,20058,20260,20498,20741,20997,21124,21851,21851,19498,19529,19436,19364
Atascadero,28418,28585,28725,29000,29329,29910,30173,30316,30075,30075,29744,29761,29665,29700
Atherton Town,6915,6950,7023,7087,7127,7163,7234,7215,7137,7137,7171,6965,6850,6823
Atwater,28286,28527,28622,28712,28861,29048,29196,29270,29559,29559,31931,32166,32219,32052
Auburn,13345,13523,13611,13818,13878,13868,13919,13971,14195,14195,13780,13827,13744,13658
Avalon,3728,3742,3754,3761,3768,3769,3758,3743,3681,3681,3440,3364,3305,3261
Avenal,15278,15095,14858,14133,13257,13236,12434,12407,13496,13496,13456,12820,13252,14075
Azusa,46534,46722,47360,47889,48561,49502,49683,49799,49974,49974,50200,49242,48594,48272
Bakersfield,348987,353221,357312,362834,366954,371348,374699,377940,384145,384145,405280,409782,412269,413381
Baldwin Park,75421,75750,76183,76364,76375,76427,76219,75948,75251,75251,71944,70503,69455,68806
Banning,29723,29993,30219,30429,30612,30761,30963,31160,31221,31221,29826,30822,31220,31680
Barstow,22812,23020,23118,23301,23484,23689,23894,23981,23915,23915,25411,25362,25155,24964
Beaumont,37261,38514,39286,40337,41994,43479,45156,46848,51063,51063,53304,54489,55995,58463
Bell,35481,35640,35758,35847,35874,35892,35756,35596,35521,35521,33449,32736,32199,31864
Bellflower,76624,76939,77202,77404,77532,77794,77581,77326,76435,76435,78965,77350,76047,75122
Bell Gardens,42056,42211,42628,42706,42714,42743,42675,42489,42012,42012,39382,38548,37901,37467
Belmont,25870,26173,26509,26770,27013,27204,27177,27057,26941,26941,28258,27337,26834,26622
Belvedere,2073,2091,2106,2121,2134,2128,2123,2116,2104,2104,2127,2117,2080,2050
Benicia,27063,27190,27380,27578,27827,28029,28126,28255,28240,28240,27106,26916,26617,26429
Berkeley,112889,113968,115309,116944,118697,120749,121547,122164,121363,121363,124205,114647,118715,118962
Beverly Hills,33937,34077,34254,34308,34363,34386,34402,34242,33792,33792,32578,31881,31350,30974
Big Bear Lake,5047,5089,5112,5127,5159,5201,5232,5264,5279,5279,5047,5055,5032,5007
Biggs,1703,1693,1692,1689,1692,1690,1695,1706,1879,1879,1955,1935,1917,1921
Bishop,3872,3847,3837,3832,3815,3772,3728,3722,3747,3747,3823,3821,3782,3742
Blue Lake,1253,1246,1241,1238,1238,1248,1266,1263,1245,1245,1211,1207,1192,1172
Blythe,20569,20294,20659,19868,19268,19202,19786,19705,19682,19682,18013,17343,17367,18045
Bradbury,1047,1056,1062,1073,1073,1079,1075,1085,1070,1070,922,901,892,892
Brawley,25038,25226,25473,25519,25660,25728,26050,26217,26227,26227,26509,26735,27161,27849
Brea,39422,39828,40139,40906,41265,41693,42392,42574,43255,43255,47247,46873,47272,48479
Brentwood,51813,52716,53508,54916,56854,58796,60571,62265,64474,64474,64453,64827,64836,65126
Brisbane,4290,4345,4402,4453,4602,4712,4711,4702,4671,4671,4840,4675,4597,4577
Buellton,4855,4877,4921,4978,5036,5069,5097,5094,5102,5102,5160,5121,5051,4990
Buena Park,80792,81553,82045,82717,82621,82770,82988,82619,81788,81788,83859,83024,82366,81958
Burbank,103351,103732,104077,104355,104405,104472,104097,104174,102511,102511,107005,104925,103507,102755
Burlingame,28838,29261,29640,29928,30258,30458,30439,30588,30889,30889,31278,30200,29822,29910
Calabasas,23464,23742,23825,24041,24058,24102,24068,24047,23853,23853,23246,22918,22519,22227
Calexico,38661,38927,39147,39298,39550,39767,40028,40083,39825,39825,38582,38556,38311,38224
California City,13467,12834,13344,13202,13203,13202,13656,13884,14198,14198,15070,15041,15180,13802
Calimesa,7918,7997,8092,8201,8380,8493,8621,8807,9160,9160,10220,10890,11113,11165
Calipatria,7689,7684,7986,7083,7491,7391,7505,7539,7114,7114,6724,6506,6449,6188
Calistoga,5174,5204,5224,5256,5274,5285,5285,5241,5247,5247,5222,5177,5092,5058
Camarillo,65257,65515,65656,65882,66517,67171,67141,67403,69888,69888,70725,70568,69901,69514
Campbell,40669,41027,41519,41891,42256,42262,42303,42567,41793,41793,43784,42625,41975,41700
Canyon Lake,10599,10699,10783,10861,10945,11007,11095,11188,11280,11280,11084,11148,11111,11096
